MODEL NAME;DATE;LOWER 95% INTERVAL;EXPECTED VALUE;UPPER 95% INTERVAL
BORP001_1_trend;2000-01-01 00:00:00; 17.277;17.4695; 17.662
BORP001_1_trend;2000-01-02 00:00:00;17.2725; 17.465;17.6575
BORP001_1_trend;2000-01-03 00:00:00;17.2757;17.4682;17.6607
BORP001_1_trend;2000-01-04 00:00:00;17.2891;17.4816; 17.674
BORP001_1_trend;2000-01-05 00:00:00;17.2817;17.4742;17.6667
BORP001_1_trend;2000-01-06 00:00:00;17.2762;17.4687;17.6612
BORP001_1_trend;2000-01-07 00:00:00;17.2704;17.4629;17.6554
BORP001_1_trend;2000-01-08 00:00:00;17.2657;17.4582;17.6507
BORP001_1_trend;2000-01-09 00:00:00;17.2604;17.4529;17.6454
BORP001_1_trend;2000-01-10 00:00:00;17.2551;17.4476;17.6401
BORP001_1_trend;2000-01-11 00:00:00;  17.25;17.4425; 17.635
BORP001_1_trend;2000-01-12 00:00:00;17.2463;17.4388;17.6313
BORP001_1_trend;2000-01-13 00:00:00;17.2444;17.4369;17.6294
BORP001_1_trend;2000-01-14 00:00:00;17.2403;17.4328;17.6253
BORP001_1_trend;2000-01-15 00:00:00;17.2367;17.4292;17.6217
BORP001_1_trend;2000-01-16 00:00:00;17.2348;17.4273;17.6198
BORP001_1_trend;2000-01-17 00:00:00;17.2328;17.4252;17.6177
BORP001_1_trend;2000-01-18 00:00:00;17.2307;17.4232;17.6157
BORP001_1_trend;2000-01-19 00:00:00;17.2274;17.4199;17.6124
BORP001_1_trend;2000-01-20 00:00:00;17.2229;17.4154;17.6079
BORP001_1_trend;2000-01-21 00:00:00;17.2225; 17.415;17.6074
BORP001_1_trend;2000-01-22 00:00:00;17.2614;17.4539;17.6464
BORP001_1_trend;2000-01-23 00:00:00;17.2516;17.4441;17.6366
BORP001_1_trend;2000-01-24 00:00:00;17.2466;17.4391;17.6316
BORP001_1_trend;2000-01-25 00:00:00;17.2399;17.4324;17.6249
BORP001_1_trend;2000-01-26 00:00:00;17.2344;17.4269;17.6194
BORP001_1_trend;2000-01-27 00:00:00;17.2311;17.4236;17.6161
BORP001_1_trend;2000-01-28 00:00:00; 17.244;17.4365; 17.629
BORP001_1_trend;2000-01-29 00:00:00;17.2387;17.4312;17.6237
BORP001_1_trend;2000-01-30 00:00:00;17.2389;17.4313;17.6238
BORP001_1_trend;2000-01-31 00:00:00;17.2336;17.4261;17.6186
BORP001_1_trend;2000-02-01 00:00:00;17.2383;17.4308;17.6233
BORP001_1_trend;2000-02-02 00:00:00;17.2338;17.4263;17.6188
BORP001_1_trend;2000-02-03 00:00:00;17.2275;  17.42;17.6125
BORP001_1_trend;2000-02-04 00:00:00;17.2295; 17.422;17.6144
BORP001_1_trend;2000-02-05 00:00:00; 17.223;17.4155; 17.608
BORP001_1_trend;2000-02-06 00:00:00;17.2255; 17.418;17.6105
BORP001_1_trend;2000-02-07 00:00:00;17.2319;17.4244;17.6169
BORP001_1_trend;2000-02-08 00:00:00;17.2572;17.4497;17.6422
BORP001_1_trend;2000-02-09 00:00:00;17.2456; 17.438;17.6305
