MODEL NAME;DATE;LOWER 95% INTERVAL;EXPECTED VALUE;UPPER 95% INTERVAL
BORP001_1_trend;2000-01-01 00:00:00; 17.448; 17.448; 17.448
BORP001_1_trend;2000-01-02 00:00:00;17.3336;17.4477;17.5618
BORP001_1_trend;2000-01-03 00:00:00;17.3078;17.4542;17.6007
BORP001_1_trend;2000-01-04 00:00:00;17.3062;17.4703;17.6344
BORP001_1_trend;2000-01-05 00:00:00;17.2905;17.4651;17.6397
BORP001_1_trend;2000-01-06 00:00:00;17.2803;17.4614;17.6425
BORP001_1_trend;2000-01-07 00:00:00;17.2718; 17.457;17.6422
BORP001_1_trend;2000-01-08 00:00:00;17.2657;17.4534;17.6412
BORP001_1_trend;2000-01-09 00:00:00;17.2596;17.4491;17.6385
BORP001_1_trend;2000-01-10 00:00:00; 17.254;17.4446;17.6351
BORP001_1_trend;2000-01-11 00:00:00;17.2488;17.4401;17.6313
BORP001_1_trend;2000-01-12 00:00:00;17.2452;17.4368;17.6285
BORP001_1_trend;2000-01-13 00:00:00;17.2433;17.4353;17.6273
BORP001_1_trend;2000-01-14 00:00:00;17.2394;17.4315;17.6237
BORP001_1_trend;2000-01-15 00:00:00; 17.353; 17.353; 17.353
BORP001_1_trend;2000-01-16 00:00:00;17.2518;17.3659;  17.48
BORP001_1_trend;2000-01-17 00:00:00;17.2293;17.3758;17.5223
BORP001_1_trend;2000-01-18 00:00:00;17.2192;17.3833;17.5475
BORP001_1_trend;2000-01-19 00:00:00;17.2132;17.3878;17.5624
BORP001_1_trend;2000-01-20 00:00:00;17.2084;17.3895;17.5706
BORP001_1_trend;2000-01-21 00:00:00; 17.209;17.3941;17.5793
BORP001_1_trend;2000-01-22 00:00:00;17.2493;17.4371;17.6249
BORP001_1_trend;2000-01-23 00:00:00;17.2412;17.4306;17.6201
BORP001_1_trend;2000-01-24 00:00:00;17.2377;17.4282;17.6187
BORP001_1_trend;2000-01-25 00:00:00;17.2324;17.4236;17.6148
BORP001_1_trend;2000-01-26 00:00:00;17.2282;17.4199;17.6115
BORP001_1_trend;2000-01-27 00:00:00;17.2259;17.4179;17.6099
BORP001_1_trend;2000-01-28 00:00:00;17.2398; 17.432;17.6241
BORP001_1_trend;2000-01-29 00:00:00;17.2352;17.4275;17.6198
BORP001_1_trend;2000-01-30 00:00:00; 17.408; 17.408; 17.408
BORP001_1_trend;2000-01-31 00:00:00;17.2932;17.4073;17.5214
BORP001_1_trend;2000-02-01 00:00:00;17.2691;17.4156;17.5621
BORP001_1_trend;2000-02-02 00:00:00;  17.25;17.4141;17.5782
BORP001_1_trend;2000-02-03 00:00:00;17.2356;17.4102;17.5848
BORP001_1_trend;2000-02-04 00:00:00; 17.233; 17.414;17.5951
BORP001_1_trend;2000-02-05 00:00:00; 17.224;17.4091;17.5943
BORP001_1_trend;2000-02-06 00:00:00; 17.225;17.4128;17.6006
BORP001_1_trend;2000-02-07 00:00:00;17.2309;17.4203;17.6097
BORP001_1_trend;2000-02-08 00:00:00;17.2559;17.4464;17.6369
BORP001_1_trend;2000-02-09 00:00:00;17.2441;17.4354;17.6266
BORP001_1_trend;2000-02-10 00:00:00; 17.255;17.4467;17.6384
BORP001_1_trend;2000-02-11 00:00:00;17.2468;17.4387;17.6307
BORP001_1_trend;2000-02-12 00:00:00; 17.413; 17.413; 17.413
BORP001_1_trend;2000-02-13 00:00:00;17.2982;17.4123;17.5264
BORP001_1_trend;2000-02-14 00:00:00;17.2738;17.4202;17.5667
BORP001_1_trend;2000-02-15 00:00:00;17.2641;17.4282;17.5924
BORP001_1_trend;2000-02-16 00:00:00;17.2504; 17.425;17.5996
BORP001_1_trend;2000-02-17 00:00:00;17.2541;17.4352;17.6163
BORP001_1_trend;2000-02-18 00:00:00;17.2578; 17.443;17.6281
BORP001_1_trend;2000-02-19 00:00:00;17.2571;17.4449;17.6327
BORP001_1_trend;2000-02-20 00:00:00;  17.25;17.4395;17.6289
BORP001_1_trend;2000-02-21 00:00:00; 17.247;17.4376;17.6281
BORP001_1_trend;2000-02-22 00:00:00;17.2429;17.4341;17.6253
BORP001_1_trend;2000-02-23 00:00:00;17.2413; 17.433;17.6246
BORP001_1_trend;2000-02-24 00:00:00;17.2708;17.4627;17.6547
BORP001_1_trend;2000-02-25 00:00:00;17.2602;17.4524;17.6445
BORP001_1_trend;2000-02-26 00:00:00;17.2516;17.4439;17.6362
BORP001_1_trend;2000-02-27 00:00:00; 17.408; 17.408; 17.408
BORP001_1_trend;2000-02-28 00:00:00;17.3057;17.4198;17.5338
BORP001_1_trend;2000-02-29 00:00:00; 17.293;17.4395; 17.586
BORP001_1_trend;2000-03-01 00:00:00;17.2753;17.4395;17.6036
BORP001_1_trend;2000-03-02 00:00:00;17.2804;17.4551;17.6297
BORP001_1_trend;2000-03-03 00:00:00;17.2999; 17.481;17.6621
BORP001_1_trend;2000-03-04 00:00:00;17.2852;17.4704;17.6555
BORP001_1_trend;2000-03-05 00:00:00;17.2767;17.4644;17.6522
BORP001_1_trend;2000-03-06 00:00:00;17.2676;17.4571;17.6465
BORP001_1_trend;2000-03-07 00:00:00;17.2639;17.4544;17.6449
BORP001_1_trend;2000-03-08 00:00:00;17.2602;17.4514;17.6426
BORP001_1_trend;2000-03-09 00:00:00;17.2547;17.4464;17.6381
BORP001_1_trend;2000-03-10 00:00:00;17.2485;17.4404;17.6324
BORP001_1_trend;2000-03-11 00:00:00;17.2429;17.4351;17.6272
BORP001_1_trend;2000-03-12 00:00:00; 17.363; 17.363; 17.363
BORP001_1_trend;2000-03-13 00:00:00;17.2569; 17.371;17.4851
BORP001_1_trend;2000-03-14 00:00:00;17.2345; 17.381;17.5274
BORP001_1_trend;2000-03-15 00:00:00;17.2177;17.3818;17.5459
BORP001_1_trend;2000-03-16 00:00:00;17.2106;17.3852;17.5598
BORP001_1_trend;2000-03-17 00:00:00; 17.205;17.3861;17.5672
BORP001_1_trend;2000-03-18 00:00:00;17.2035;17.3886;17.5738
BORP001_1_trend;2000-03-19 00:00:00;17.2004;17.3882; 17.576
