MODEL NAME;DATE;LOWER 95% INTERVAL;EXPECTED VALUE;UPPER 95% INTERVAL
ALMP003_1_nonlin;1/01/1999 0:00;16.0013;16.34;16.6787
ALMP003_1_nonlin;2/01/1999 0:00;16.0546;16.3934;16.7321
ALMP003_1_nonlin;3/01/1999 0:00;16.1346;16.4734;16.8121
ALMP003_1_nonlin;4/01/1999 0:00;16.1333;16.472;16.8108
ALMP003_1_nonlin;5/01/1999 0:00;16.132;16.4707;16.8095
ALMP003_1_nonlin;6/01/1999 0:00;16.1705;16.5092;16.848
ALMP003_1_nonlin;7/01/1999 0:00;16.1773;16.516;16.8548
ALMP003_1_nonlin;8/01/1999 0:00;16.2836;16.6223;16.9611
ALMP003_1_nonlin;9/01/1999 0:00;16.2826;16.6213;16.9601
ALMP003_1_nonlin;10/01/1999 0:00;16.282;16.6208;16.9595
ALMP003_1_nonlin;11/01/1999 0:00;16.2814;16.6202;16.9589
ALMP003_1_nonlin;12/01/1999 0:00;16.323;16.6617;17.0005
ALMP003_1_nonlin;13/01/1999 0:00;16.336;16.6747;17.0134
ALMP003_1_nonlin;14/01/1999 0:00;16.3314;16.6701;17.0089
ALMP003_1_nonlin;15/01/1999 0:00;16.3286;16.6673;17.0061
ALMP003_1_nonlin;16/01/1999 0:00;16.433;16.7718;17.1105
ALMP003_1_nonlin;17/01/1999 0:00;16.4282;16.767;17.1057
ALMP003_1_nonlin;18/01/1999 0:00;16.4213;16.76;17.0988
ALMP003_1_nonlin;19/01/1999 0:00;16.4172;16.756;17.0947
ALMP003_1_nonlin;20/01/1999 0:00;16.424;16.7627;17.1015
ALMP003_1_nonlin;21/01/1999 0:00;16.4492;16.7879;17.1267
ALMP003_1_nonlin;22/01/1999 0:00;16.4553;16.794;17.1328
ALMP003_1_nonlin;23/01/1999 0:00;16.4604;16.7991;17.1379
ALMP003_1_nonlin;24/01/1999 0:00;16.4647;16.8035;17.1422
ALMP003_1_nonlin;25/01/1999 0:00;16.4886;16.8274;17.1661
ALMP003_1_nonlin;26/01/1999 0:00;16.5481;16.8869;17.2256
ALMP003_1_nonlin;27/01/1999 0:00;16.5622;16.901;17.2397
ALMP003_1_nonlin;28/01/1999 0:00;16.5959;16.9347;17.2734
ALMP003_1_nonlin;29/01/1999 0:00;16.5925;16.9313;17.27
ALMP003_1_nonlin;30/01/1999 0:00;16.5914;16.9301;17.2689
ALMP003_1_nonlin;31/01/1999 0:00;16.5873;16.9261;17.2648
ALMP003_1_nonlin;1/02/1999 0:00;16.5847;16.9235;17.2622
ALMP003_1_nonlin;2/02/1999 0:00;16.5814;16.9201;17.2589
ALMP003_1_nonlin;3/02/1999 0:00;16.5766;16.9153;17.2541
ALMP003_1_nonlin;4/02/1999 0:00;16.5727;16.9114;17.2502
ALMP003_1_nonlin;5/02/1999 0:00;16.5941;16.9328;17.2716
ALMP003_1_nonlin;6/02/1999 0:00;16.6214;16.9601;17.2989
ALMP003_1_nonlin;7/02/1999 0:00;16.6424;16.9812;17.3199
ALMP003_1_nonlin;8/02/1999 0:00;16.6425;16.9813;17.32
ALMP003_1_nonlin;9/02/1999 0:00;16.6478;16.9865;17.3253
ALMP003_1_nonlin;10/02/1999 0:00;16.646;16.9848;17.3235
ALMP003_1_nonlin;11/02/1999 0:00;16.6448;16.9836;17.3223
ALMP003_1_nonlin;12/02/1999 0:00;16.6436;16.9824;17.3211
ALMP003_1_nonlin;13/02/1999 0:00;16.6424;16.9812;17.3199
ALMP003_1_nonlin;14/02/1999 0:00;16.6578;16.9965;17.3353
ALMP003_1_nonlin;15/02/1999 0:00;16.6525;16.9913;17.33
ALMP003_1_nonlin;16/02/1999 0:00;16.6488;16.9876;17.3263
ALMP003_1_nonlin;17/02/1999 0:00;16.6685;17.0073;17.346
ALMP003_1_nonlin;18/02/1999 0:00;16.6677;17.0065;17.3452
ALMP003_1_nonlin;19/02/1999 0:00;16.7044;17.0431;17.3819
ALMP003_1_nonlin;20/02/1999 0:00;16.7;17.0388;17.3775
ALMP003_1_nonlin;21/02/1999 0:00;16.7802;17.1189;17.4577
ALMP003_1_nonlin;22/02/1999 0:00;16.7739;17.1126;17.4514
ALMP003_1_nonlin;23/02/1999 0:00;16.7674;17.1062;17.4449
ALMP003_1_nonlin;24/02/1999 0:00;16.7629;17.1016;17.4404
ALMP003_1_nonlin;25/02/1999 0:00;16.7559;17.0947;17.4334
ALMP003_1_nonlin;26/02/1999 0:00;16.748;17.0867;17.4255
ALMP003_1_nonlin;27/02/1999 0:00;16.7485;17.0873;17.426
ALMP003_1_nonlin;28/02/1999 0:00;16.7778;17.1165;17.4553
ALMP003_1_nonlin;1/03/1999 0:00;16.8073;17.146;17.4848
ALMP003_1_nonlin;2/03/1999 0:00;16.8183;17.157;17.4958
ALMP003_1_nonlin;3/03/1999 0:00;16.8116;17.1503;17.4891
ALMP003_1_nonlin;4/03/1999 0:00;16.8171;17.1559;17.4946
ALMP003_1_nonlin;5/03/1999 0:00;16.8208;17.1595;17.4983
ALMP003_1_nonlin;6/03/1999 0:00;16.8243;17.1631;17.5018
ALMP003_1_nonlin;7/03/1999 0:00;16.8887;17.2275;17.5662
ALMP003_1_nonlin;8/03/1999 0:00;16.8942;17.2329;17.5717
ALMP003_1_nonlin;9/03/1999 0:00;16.8917;17.2304;17.5692
ALMP003_1_nonlin;10/03/1999 0:00;16.8892;17.2279;17.5667
ALMP003_1_nonlin;11/03/1999 0:00;16.8868;17.2256;17.5643
ALMP003_1_nonlin;12/03/1999 0:00;16.8846;17.2233;17.5621
ALMP003_1_nonlin;13/03/1999 0:00;16.8792;17.2179;17.5567
ALMP003_1_nonlin;14/03/1999 0:00;16.8663;17.205;17.5438
ALMP003_1_nonlin;15/03/1999 0:00;16.8551;17.1938;17.5326
ALMP003_1_nonlin;16/03/1999 0:00;16.8417;17.1804;17.5191
ALMP003_1_nonlin;17/03/1999 0:00;16.8318;17.1705;17.5093
ALMP003_1_nonlin;18/03/1999 0:00;16.8527;17.1915;17.5302
ALMP003_1_nonlin;19/03/1999 0:00;16.8416;17.1803;17.5191
ALMP003_1_nonlin;20/03/1999 0:00;16.8298;17.1686;17.5073
ALMP003_1_nonlin;21/03/1999 0:00;16.8889;17.2277;17.5664
ALMP003_1_nonlin;22/03/1999 0:00;16.8922;17.2309;17.5697
ALMP003_1_nonlin;23/03/1999 0:00;16.8903;17.229;17.5678
ALMP003_1_nonlin;24/03/1999 0:00;16.8882;17.2269;17.5657
ALMP003_1_nonlin;25/03/1999 0:00;16.8858;17.2246;17.5633
ALMP003_1_nonlin;26/03/1999 0:00;16.8848;17.2235;17.5623
ALMP003_1_nonlin;27/03/1999 0:00;16.8766;17.2154;17.5541
ALMP003_1_nonlin;28/03/1999 0:00;16.8613;17.2;17.5388
ALMP003_1_nonlin;29/03/1999 0:00;16.8393;17.178;17.5168
ALMP003_1_nonlin;30/03/1999 0:00;16.8265;17.1653;17.504
ALMP003_1_nonlin;31/03/1999 0:00;16.8085;17.1473;17.486
ALMP003_1_nonlin;1/04/1999 0:00;16.7867;17.1254;17.4642
ALMP003_1_nonlin;2/04/1999 0:00;16.7961;17.1348;17.4736
ALMP003_1_nonlin;3/04/1999 0:00;16.8087;17.1475;17.4862
ALMP003_1_nonlin;4/04/1999 0:00;16.8294;17.1681;17.5068
ALMP003_1_nonlin;5/04/1999 0:00;16.823;17.1618;17.5005
ALMP003_1_nonlin;6/04/1999 0:00;16.8131;17.1519;17.4906
ALMP003_1_nonlin;7/04/1999 0:00;16.8079;17.1467;17.4854
ALMP003_1_nonlin;8/04/1999 0:00;16.7933;17.132;17.4708
ALMP003_1_nonlin;9/04/1999 0:00;16.7813;17.1201;17.4588
ALMP003_1_nonlin;10/04/1999 0:00;16.7702;17.1089;17.4477
ALMP003_1_nonlin;11/04/1999 0:00;16.7814;17.1202;17.4589
ALMP003_1_nonlin;12/04/1999 0:00;16.8209;17.1596;17.4984
ALMP003_1_nonlin;13/04/1999 0:00;16.8477;17.1864;17.5251
ALMP003_1_nonlin;14/04/1999 0:00;16.8368;17.1756;17.5143
ALMP003_1_nonlin;15/04/1999 0:00;16.8211;17.1598;17.4986
ALMP003_1_nonlin;16/04/1999 0:00;16.8074;17.1461;17.4849
ALMP003_1_nonlin;17/04/1999 0:00;16.7961;17.1348;17.4736
ALMP003_1_nonlin;18/04/1999 0:00;16.7948;17.1335;17.4723
ALMP003_1_nonlin;19/04/1999 0:00;16.8093;17.1481;17.4868
ALMP003_1_nonlin;20/04/1999 0:00;16.831;17.1697;17.5085
ALMP003_1_nonlin;21/04/1999 0:00;16.8842;17.2229;17.5617
ALMP003_1_nonlin;22/04/1999 0:00;16.884;17.2228;17.5615
ALMP003_1_nonlin;23/04/1999 0:00;16.8734;17.2122;17.5509
ALMP003_1_nonlin;24/04/1999 0:00;16.8779;17.2167;17.5554
ALMP003_1_nonlin;25/04/1999 0:00;16.859;17.1977;17.5365
ALMP003_1_nonlin;26/04/1999 0:00;16.8487;17.1875;17.5262
ALMP003_1_nonlin;27/04/1999 0:00;16.8239;17.1627;17.5014
ALMP003_1_nonlin;28/04/1999 0:00;16.7968;17.1356;17.4743
ALMP003_1_nonlin;29/04/1999 0:00;16.7771;17.1158;17.4546
ALMP003_1_nonlin;30/04/1999 0:00;16.7501;17.0888;17.4275
ALMP003_1_nonlin;1/05/1999 0:00;16.726;17.0648;17.4035
ALMP003_1_nonlin;2/05/1999 0:00;16.6994;17.0382;17.3769
ALMP003_1_nonlin;3/05/1999 0:00;16.667;17.0058;17.3445
ALMP003_1_nonlin;4/05/1999 0:00;16.6382;16.9769;17.3157
ALMP003_1_nonlin;5/05/1999 0:00;16.6328;16.9716;17.3103
ALMP003_1_nonlin;6/05/1999 0:00;16.6132;16.9519;17.2907
ALMP003_1_nonlin;7/05/1999 0:00;16.6277;16.9664;17.3052
ALMP003_1_nonlin;8/05/1999 0:00;16.6038;16.9425;17.2813
ALMP003_1_nonlin;9/05/1999 0:00;16.5727;16.9114;17.2501
ALMP003_1_nonlin;10/05/1999 0:00;16.5552;16.8939;17.2327
ALMP003_1_nonlin;11/05/1999 0:00;16.5852;16.9239;17.2627
ALMP003_1_nonlin;12/05/1999 0:00;16.5644;16.9031;17.2419
ALMP003_1_nonlin;13/05/1999 0:00;16.5437;16.8825;17.2212
ALMP003_1_nonlin;14/05/1999 0:00;16.5311;16.8699;17.2086
ALMP003_1_nonlin;15/05/1999 0:00;16.5078;16.8466;17.1853
ALMP003_1_nonlin;16/05/1999 0:00;16.4866;16.8253;17.1641
ALMP003_1_nonlin;17/05/1999 0:00;16.4573;16.796;17.1347
ALMP003_1_nonlin;18/05/1999 0:00;16.4468;16.7855;17.1243
ALMP003_1_nonlin;19/05/1999 0:00;16.4937;16.8324;17.1711
ALMP003_1_nonlin;20/05/1999 0:00;16.4833;16.822;17.1608
ALMP003_1_nonlin;21/05/1999 0:00;16.452;16.7907;17.1295
ALMP003_1_nonlin;22/05/1999 0:00;16.4248;16.7635;17.1023
ALMP003_1_nonlin;23/05/1999 0:00;16.4058;16.7446;17.0833
ALMP003_1_nonlin;24/05/1999 0:00;16.3872;16.726;17.0647
ALMP003_1_nonlin;25/05/1999 0:00;16.3614;16.7001;17.0388
ALMP003_1_nonlin;26/05/1999 0:00;16.3293;16.668;17.0067
ALMP003_1_nonlin;27/05/1999 0:00;16.2932;16.6319;16.9707
ALMP003_1_nonlin;28/05/1999 0:00;16.2629;16.6016;16.9403
ALMP003_1_nonlin;29/05/1999 0:00;16.2278;16.5665;16.9052
ALMP003_1_nonlin;30/05/1999 0:00;16.2498;16.5885;16.9273
ALMP003_1_nonlin;31/05/1999 0:00;16.2255;16.5643;16.903
ALMP003_1_nonlin;1/06/1999 0:00;16.206;16.5448;16.8835
ALMP003_1_nonlin;2/06/1999 0:00;16.2302;16.569;16.9077
ALMP003_1_nonlin;3/06/1999 0:00;16.2482;16.5869;16.9256
ALMP003_1_nonlin;4/06/1999 0:00;16.2729;16.6117;16.9504
ALMP003_1_nonlin;5/06/1999 0:00;16.331;16.6697;17.0084
ALMP003_1_nonlin;6/06/1999 0:00;16.3442;16.683;17.0217
ALMP003_1_nonlin;7/06/1999 0:00;16.3368;16.6756;17.0143
ALMP003_1_nonlin;8/06/1999 0:00;16.3118;16.6506;16.9893
ALMP003_1_nonlin;9/06/1999 0:00;16.2895;16.6283;16.967
